
0x80000000:     ADDI x5, x0, 0
0x80000004:     ADDI x6, x0, 256
0x80000008:     LUI x7, 524304
0x8000000C:     ADDI x7, x7, 256
0x80000010:     SB x5, 0(x7)
0x80000014:     ADDI x5, x5, 1
0x80000018:     ADDI x7, x7, 1
0x8000001C:     BLTU x5, x6, -12
0x80000010:     SB x5, 0(x7)
0x80000014:     ADDI x5, x5, 1
0x80000018:     ADDI x7, x7, 1
0x8000001C:     BLTU x5, x6, -12
0x80000010:     SB x5, 0(x7)
0x80000014:     ADDI x5, x5, 1
0x80000018:     ADDI x7, x7, 1
0x8000001C:     BLTU x5, x6, -12
0x80000010:     SB x5, 0(x7)
0x80000014:     ADDI x5, x5, 1
0x80000018:     ADDI x7, x7, 1
0x8000001C:     BLTU x5, x6, -12
0x80000010:     SB x5, 0(x7)
0x80000014:     ADDI x5, x5, 1
0x80000018:     ADDI x7, x7, 1
0x8000001C:     BLTU x5, x6, -12
0x80000010:     SB x5, 0(x7)
0x80000014:     ADDI x5, x5, 1
0x80000018:     ADDI x7, x7, 1
0x8000001C:     BLTU x5, x6, -12
0x80000010:     SB x5, 0(x7)
0x80000014:     ADDI x5, x5, 1
0x80000018:     ADDI x7, x7, 1
0x8000001C:     BLTU x5, x6, -12
0x80000010:     SB x5, 0(x7)
0x80000014:     ADDI x5, x5, 1
0x80000018:     ADDI x7, x7, 1
0x8000001C:     BLTU x5, x6, -12
0x80000010:     SB x5, 0(x7)
0x80000014:     ADDI x5, x5, 1
0x80000018:     ADDI x7, x7, 1
0x8000001C:     BLTU x5, x6, -12
0x80000010:     SB x5, 0(x7)
0x80000014:     ADDI x5, x5, 1
0x80000018:     ADDI x7, x7, 1
0x8000001C:     BLTU x5, x6, -12
0x80000010:     SB x5, 0(x7)
0x80000014:     ADDI x5, x5, 1
0x80000018:     ADDI x7, x7, 1
0x8000001C:     BLTU x5, x6, -12
0x80000010:     SB x5, 0(x7)
0x80000014:     ADDI x5, x5, 1
0x80000018:     ADDI x7, x7, 1
0x8000001C:     BLTU x5, x6, -12
0x80000010:     SB x5, 0(x7)
0x80000014:     ADDI x5, x5, 1
0x80000018:     ADDI x7, x7, 1
0x8000001C:     BLTU x5, x6, -12
0x80000010:     SB x5, 0(x7)
0x80000014:     ADDI x5, x5, 1
0x80000018:     ADDI x7, x7, 1
0x8000001C:     BLTU x5, x6, -12
0x80000010:     SB x5, 0(x7)
0x80000014:     ADDI x5, x5, 1
0x80000018:     ADDI x7, x7, 1
0x8000001C:     BLTU x5, x6, -12
0x80000010:     SB x5, 0(x7)
0x80000014:     ADDI x5, x5, 1
0x80000018:     ADDI x7, x7, 1
0x8000001C:     BLTU x5, x6, -12
0x80000010:     SB x5, 0(x7)
0x80000014:     ADDI x5, x5, 1
0x80000018:     ADDI x7, x7, 1
0x8000001C:     BLTU x5, x6, -12
0x80000010:     SB x5, 0(x7)
0x80000014:     ADDI x5, x5, 1
0x80000018:     ADDI x7, x7, 1
0x8000001C:     BLTU x5, x6, -12
0x80000010:     SB x5, 0(x7)
0x80000014:     ADDI x5, x5, 1
0x80000018:     ADDI x7, x7, 1
0x8000001C:     BLTU x5, x6, -12
0x80000010:     SB x5, 0(x7)
0x80000014:     ADDI x5, x5, 1
0x80000018:     ADDI x7, x7, 1
0x8000001C:     BLTU x5, x6, -12
0x80000010:     SB x5, 0(x7)
0x80000014:     ADDI x5, x5, 1
0x80000018:     ADDI x7, x7, 1
0x8000001C:     BLTU x5, x6, -12
0x80000010:     SB x5, 0(x7)
0x80000014:     ADDI x5, x5, 1
0x80000018:     ADDI x7, x7, 1
0x8000001C:     BLTU x5, x6, -12
0x80000010:     SB x5, 0(x7)
0x80000014:     ADDI x5, x5, 1
